NAME,MSINI-mjupiter,A-au,PER-day,ECC,OM-deg,T0-jd,K-m/s,ORBREF,ORBURL,FIRSTREF,FIRSTURL,OTHERNAME,COMP,HD,HIPP,HR,SAO,GL,BINARY,BINARYURL,BINARYREF,RA-hr,DEC-deg,RA_STRING,DEC_STRING,KEPID,KOI,KDE,EOD,IMAGING,MICROLENSING,TIMING,ASTROMETRY,BMV,V,VURL,VREF,J,H,PAR-marcsec,DIST-pc,VSINI-km/s,KS,GAMMA-km/s,DVDT-m/s/day,I-deg,MASS-mjupiter,SEP-au,TREND,LAMBDA-deg,BIGOM-deg,DEPTH,T14-day,TT,R-rjupiter,AR,DENSITY-\g/cm^3,GRAVITY,B,TRANSIT,TRANSITURL,TRANSITREF,DR,RR,SE,SEURL,SEREF,SEDEPTHJ,SEDEPTHH,SEDEPTHKS,SEDEPTHKP,SEDEPTH36,SEDEPTH45,SEDEPTH80,SEDEPTH58,RMS,CHI2,NOBS,NCOMP,MULT,PLANETDISCMETH,STARDISCMETH,DATE,STAR,MSTAR-msun,RSTAR-rsun,TEFF-k,RHOSTAR-g/cm^3,LOGG,FE,SHK,RHK,JSNAME,EPEURL,KP,SIMBADNAME,SIMBADURL,ETDNAME,ETDURL,EANAME,EAURL
KOI 2581.01,,0.1021,12.7372371,0,,,,,,,,KIC 11818872,1,,,,,,,,,,,,,11818872,2581.01,1,0,,,,,,,,,12.209,11.893,,,,11.808,,,89.24,0.001915167,,,,,100.8,0.139916667,14969.0162,0.077616335,,,,0.364,1,,,27.3,0.009176,,,,,,,,,,,,,,,,,,,,KOI 2581,0.874,0.868,5420,,4.502,0,,,,,13.463,,,,,K02581.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02581.01
KOI 2582.01,,0.2408,40.0306267,0,,,,,,,,KIC 11771430,1,,,,,,,,,,,,,11771430,2582.01,1,0,,,,,,,,,12.558,12.296,,,,12.239,,,89.7,0.015210412,,,,,214.5,0.200625,14981.85882,0.179320497,,,,0.322,1,,,61,0.013429,,,,,,,,,,,,,,,,,,,,KOI 2582,1.161,1.373,5855,,4.227,0.26,,,,,13.628,,,,,K02582.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02582.01
KOI 2671.01,,0.1515,21.47642727,0,,,,,,,,KIC 2437505,1,,,,,,,,,,,,,2437505,2671.01,1,0,,,,,,,,,16.761,15.579,,,,15.558,,,89.99,1,,,,,348130,0.231241667,14982.26156,5.30824358,,,,0.006,1,,,45.679,0.544874,,,,,,,,,,,,,,,,,,,,KOI 2671,1,1,5780,,4.438,0,,,,,17.29,,,,,K02671.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02671.01
KOI 2508.01,,0.0691,7.10397925,0,,,,,,,,KIC 8836888,1,,,,,,,,,,,,,8836888,2508.01,1,0,,,,,,,,,13.843,13.518,,,,13.373,,,89.69,0.011557051,,,,,370.5,0.064158333,14969.33096,0.134713408,,,,0.192,1,,,35.22,0.017508,,,,,,,,,,,,,,,,,,,,KOI 2508,0.877,0.789,5488,,4.584,-0.18,,,,,15.164,,,,,K02508.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02508.01
KOI 2583.01,,0.0405,3.03267135,0,,,,,,,,KIC 10387742,1,,,,,,,,,,,,,10387742,2583.01,1,0,,,,,,,,,11.462,11.142,,,,11.076,,,88.93,0.000521316,,,,,42.4,0.073916667,14967.0668,0.053528507,,,,0.238,1,,,12.78,0.005931,,,,,,,,,,,,,,,,,,,,KOI 2583,0.962,0.921,5640,,4.492,0.06,,,,,12.623,,,,,K02583.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02583.01
KOI 2588.01,,0.0532,5.77957133,0,,,,,,,,KIC 12156347,1,,,,,,,,,,,,,12156347,2588.01,1,0,,,,,,,,,13.491,12.843,,,,12.739,,,82.13,0.011493518,,,,,396.6,0.105054167,14969.53014,0.133821267,,,,0.946,1,,,6.91,0.023676,,,,,,,,,,,,,,,,,,,,KOI 2588,0.599,0.581,4102,,4.687,-0.14,,,,,15.484,,,,,K02588.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02588.01
KOI 2656.01,,0.0727,6.77367892,0,,,,,,,,KIC 8636539,1,,,,,,,,,,,,,8636539,2656.01,1,0,,,,,,,,,13.929,13.649,,,,13.654,,,89.09,0.008477835,,,,,150.7,0.149125,14971.07568,0.118654856,,,,0.228,1,,,14.26,0.011355,,,,,,,,,,,,,,,,,,,,KOI 2656,1.116,1.072,6392,,4.425,-0.2,,,,,15.024,,,,,K02656.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02656.01
KOI 2657.01,,0.0556,5.22402436,0,,,,,,,,KIC 9283156,1,,,,,,,,,,,,,9283156,2657.01,1,0,,,,,,,,,11.652,11.287,,,,11.236,,,89.55,0.000463751,,,,,48.1,0.108666667,14965.85379,0.051744223,,,,0.12,1,,,15.3,0.006272,,,,,,,,,,,,,,,,,,,,KOI 2657,0.837,0.84,5487,,4.512,-0.18,,,,,12.869,,,,,K02657.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02657.01
KOI 2658.01,,0.1016,11.6601667,0,,,,,,,,KIC 8547429,1,,,,,,,,,,,,,8547429,2658.01,1,0,,,,,,,,,13.276,12.994,,,,12.877,,,76.07,0.015825819,,,,,181,0.245083333,14973.62189,0.18556549,,,,0.983,1,,,4.09,0.017606,,,,,,,,,,,,,,,,,,,,KOI 2658,1.03,1.083,5791,,4.381,0.16,,,,,14.406,,,,,K02658.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02658.01
KOI 2512.01,,0.1201,15.92108138,0,,,,,,,,KIC 9574158,1,,,,,,,,,,,,,9574158,2512.01,1,0,,,,,,,,,14.326,13.843,,,,13.856,,,88.01,0.030736235,,,,,716.8,0.064345833,14980.0537,0.280132518,,,,0.972,1,,,28,0.035087,,,,,,,,,,,,,,,,,,,,KOI 2512,0.917,0.82,5595,,4.57,-0.14,,,,,15.523,,,,,K02512.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02512.01
KOI 2513.01,,0.1412,19.0054098,0,,,,,,,,KIC 9653622,1,,,,,,,,,,,,,9653622,2513.01,1,0,,,,,,,,,13.757,13.453,,,,13.367,,,86.29,1,,,,,542.4,0.076791667,14977.15574,2.539927642,,,,1.228,1,,,18.98,0.251685,,,,,,,,,,,,,,,,,,,,KOI 2513,1.032,1.036,6347,,4.423,-0.32,,,,,14.839,,,,,K02513.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02513.01
KOI 2516.01,,0.041,2.81043228,0,,,,,,,,KIC 7294743,1,,,,,,,,,,,,,7294743,2516.01,1,0,,,,,,,,,12.065,11.667,,,,11.582,,,86.18,0.010799122,,,,,47.4,0.161416667,14966.40821,0.127576274,,,,0.351,1,,,5.27,0.00628,,,,,,,,,,,,,,,,,,,,KOI 2516,1.164,2.079,5415,,3.868,0.12,,,,,13.388,,,,,K02516.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02516.01
KOI 2592.01,,0.6288,175.603366,0,,,,,,,,KIC 6765135,1,,,,,,,,,,,,,6765135,2592.01,1,0,,,,,,,,,13.926,13.646,,,,13.62,,,88.99,0.025710234,,,,,506.8,0.397625,15035.3721,0.25604469,,,,0.952,1,,,53.9,0.026036,,,,,,,,,,,,,,,,,,,,KOI 2592,1.07,1.009,6225,,4.461,-0.18,,,,,15.054,,,,,K02592.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02592.01
KOI 4.01,,0.0548,3.849371737,0,,,,,,,,KIC 3861595,1,,,,,,,,,,,,,3861595,4.01,1,0,,,,,,,,,10.475,10.266,,,,10.195,,,80.61,1,,,,,1298.6,0.109666667,14990.52669,1.154431461,,,,0.915,1,,,5.6,0.039601,,,,,,,,,,,,,,,,,,,,KOI 4,1.482,2.992,6244,,3.657,-0.16,,,,,11.432,,,,,K00004.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00004.01
KOI 2666.01,,0.2926,64.034363,0,,,,,,,,KIC 5342061,1,,,,,,,,,,,,,5342061,2666.01,1,0,,,,,,,,,14.08,13.729,,,,13.609,,,86.84,0.03836867,,,,,758.8,0.38225,14992.0432,0.309573197,,,,0.985,1,,,17.89,0.040604,,,,,,,,,,,,,,,,,,,,KOI 2666,0.814,0.783,5691,,4.561,-0.48,,,,,15.341,,,,,K02666.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02666.01
KOI 2519.01,,0.0486,4.790912471,0,,,,,,,,KIC 4047631,1,,,,,,,,,,,,,4047631,2519.01,1,0,,,,,,,,,12.746,12.174,,,,12.039,,,87.78,0.017464874,,,,,360.7,0.021391667,14965.01539,0.2007319,,,,0.969,1,,,25,0.030503,,,,,,,,,,,,,,,,,,,,KOI 2519,0.665,0.676,4359,,4.601,0.04,,,,,14.452,,,,,K02519.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02519.01
KOI 2674.01,,0.6711,197.5111484,0,,,,,,,,KIC 8022489,1,,,,,,,,,,,,,8022489,2674.01,1,0,,,,,,,,,12.169,11.859,,,,11.825,,,89.49,0.41293522,,,,,2575.6,0.46275,15105.3864,0.849318973,,,,0.814,1,,,90.6,0.05206,,,,,,,,,,,,,,,,,,,,KOI 2674,1.032,1.674,5616,,4.004,0.04,,,,,13.349,,,,,K02674.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02674.01
KOI 2445.01,,0.2475,47.3659328,0,,,,,,,,KIC 6516185,1,,,,,,,,,,,,,6516185,2445.01,1,0,,,,,,,,,14.533,14.052,,,,13.963,,,85.19,1,,,,,757,0.330375,15008.0355,1.067893708,,,,1.085,1,,,12.94,0.121506,,,,,,,,,,,,,,,,,,,,KOI 2445,0.902,0.902,5708,,4.482,-0.16,,,,,15.817,,,,,K02445.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02445.01
KOI 2521.02,,0.052,4.86634094,0,,,,,,,,KIC 7183745,2,,,,,,,,,,,,,7183745,2521.02,1,0,,,,,,,,,14.388,13.922,,,,13.824,,,84.73,0.014625869,,,,,366.7,0.078541667,15186.34131,0.173075505,,,,0.895,1,,,9.74,0.021379,,,,,,,,,,,,,,,,,,,,KOI 2521,0.791,0.831,4996,,4.497,0.14,,,,,15.86,,,,,K02521.02,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02521.02
